			org1 (Host/Predator)						org2 (Symbiont/Parasite/Prey)												
																					
Observation type	Taxonomic interaction 	Interaction	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Database	Interaction_ID	Ecological interaction	Habitat	Source
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196962	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_68	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196963	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_69	nitrogen fixation	Marine	Open ocean
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587739	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	MicroEcoSystems	ID_526	photosymbiosis	Marine	Open ocean
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 b	10.1111/j.1529-8817.2006.00206.x	MicroEcoSystems	ID_527	photosymbiosis	Marine	Water sample (Pacific Ocean)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Histioneis	depressa	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 b	10.1111/j.1529-8817.2006.00206.x	MicroEcoSystems	ID_1098	photosymbiosis	Marine	Water sample (Pacific Ocean)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	magnificus	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 b	10.1111/j.1529-8817.2006.00206.x	MicroEcoSystems	ID_1099	photosymbiosis	Marine	Water sample (Pacific Ocean)
1	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	NA	NA	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Janson 1995	10.2216/i0031-8884-34-2-171.1	MicroEcoSystems	ID_1100	photosymbiosis	Marine	Plankton net (Caribbean Sea)
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Syinophysis	canaliculata	AB546860	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Escalera et al. 2010	10.1016/j.protis.2010.07.003	MicroEcoSystems	ID_1101	photosymbiosis	Marine	Macroalgae samples, Japan
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Scrispiella	trochoidea	NA	Prokaryote	Proteobacteria	Gammaproteobacteria	Marinobacter	NA	Amin 2009	10.1073/pnas.0905512106	MicroEcoSystems	ID_1	exchange of iron and carbon	Marine	Culture
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Amphiprora	kufferathii	EF490379	Prokaryote	Proteobacteria	Alphaproteobacteria	Sulfitobacter	NA	Hünken 2008	10.1111/j.1438-8677.2008.00040.x	MicroEcoSystems	ID_31	mutualism	Marine	Antarctic sea ice
